ALAND,AWATER,DIVISION,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAME,REGION,STATEFP,STATENS,STUSPS,area,boundary,X,Y,ID_GEOFLA,post1500AverageCalories00count,post1500AverageCalories00gini,post1500AverageCalories00majority,post1500AverageCalories00max,post1500AverageCalories00mean,post1500AverageCalories00median,post1500AverageCalories00min,post1500AverageCalories00std,post1500AverageCalories00sum,post1500AverageCalories0count,post1500AverageCalories0gini,post1500AverageCalories0majority,post1500AverageCalories0max,post1500AverageCalories0mean,post1500AverageCalories0median,post1500AverageCalories0min,post1500AverageCalories0std,post1500AverageCalories0sum,post1500AverageCaloriescount,post1500AverageCaloriesgini,post1500AverageCaloriesmajority,post1500AverageCaloriesmax,post1500AverageCaloriesmean,post1500AverageCaloriesmedian,post1500AverageCaloriesmin,post1500AverageCaloriesstd,post1500AverageCaloriessum,post1500MaximumCalories00count,post1500MaximumCalories00gini,post1500MaximumCalories00majority,post1500MaximumCalories00max,post1500MaximumCalories00mean,post1500MaximumCalories00median,post1500MaximumCalories00min,post1500MaximumCalories00std,post1500MaximumCalories00sum,post1500MaximumCalories0count,post1500MaximumCalories0gini,post1500MaximumCalories0majority,post1500MaximumCalories0max,post1500MaximumCalories0mean,post1500MaximumCalories0median,post1500MaximumCalories0min,post1500MaximumCalories0std,post1500MaximumCalories0sum,post1500MaximumCaloriescount,post1500MaximumCaloriesgini,post1500MaximumCaloriesmajority,post1500MaximumCaloriesmax,post1500MaximumCaloriesmean,post1500MaximumCaloriesmedian,post1500MaximumCaloriesmin,post1500MaximumCaloriesstd,post1500MaximumCaloriessum,pre15002AverageCalories00count,pre15002AverageCalories00gini,pre15002AverageCalories00majority,pre15002AverageCalories00max,pre15002AverageCalories00mean,pre15002AverageCalories00median,pre15002AverageCalories00min,pre15002AverageCalories00std,pre15002AverageCalories00sum,pre15002AverageCalories0count,pre15002AverageCalories0gini,pre15002AverageCalories0majority,pre15002AverageCalories0max,pre15002AverageCalories0mean,pre15002AverageCalories0median,pre15002AverageCalories0min,pre15002AverageCalories0std,pre15002AverageCalories0sum,pre15002AverageCaloriescount,pre15002AverageCaloriesgini,pre15002AverageCaloriesmajority,pre15002AverageCaloriesmax,pre15002AverageCaloriesmean,pre15002AverageCaloriesmedian,pre15002AverageCaloriesmin,pre15002AverageCaloriesstd,pre15002AverageCaloriessum,pre15002MaximumCalories00count,pre15002MaximumCalories00gini,pre15002MaximumCalories00majority,pre15002MaximumCalories00max,pre15002MaximumCalories00mean,pre15002MaximumCalories00median,pre15002MaximumCalories00min,pre15002MaximumCalories00std,pre15002MaximumCalories00sum,pre15002MaximumCalories0count,pre15002MaximumCalories0gini,pre15002MaximumCalories0majority,pre15002MaximumCalories0max,pre15002MaximumCalories0mean,pre15002MaximumCalories0median,pre15002MaximumCalories0min,pre15002MaximumCalories0std,pre15002MaximumCalories0sum,pre15002MaximumCaloriescount,pre15002MaximumCaloriesgini,pre15002MaximumCaloriesmajority,pre15002MaximumCaloriesmax,pre15002MaximumCaloriesmean,pre15002MaximumCaloriesmedian,pre15002MaximumCaloriesmin,pre15002MaximumCaloriesstd,pre15002MaximumCaloriessum,pre1500AverageCalories00count,pre1500AverageCalories00gini,pre1500AverageCalories00majority,pre1500AverageCalories00max,pre1500AverageCalories00mean,pre1500AverageCalories00median,pre1500AverageCalories00min,pre1500AverageCalories00std,pre1500AverageCalories00sum,pre1500AverageCalories0count,pre1500AverageCalories0gini,pre1500AverageCalories0majority,pre1500AverageCalories0max,pre1500AverageCalories0mean,pre1500AverageCalories0median,pre1500AverageCalories0min,pre1500AverageCalories0std,pre1500AverageCalories0sum,pre1500AverageCaloriescount,pre1500AverageCaloriesgini,pre1500AverageCaloriesmajority,pre1500AverageCaloriesmax,pre1500AverageCaloriesmean,pre1500AverageCaloriesmedian,pre1500AverageCaloriesmin,pre1500AverageCaloriesstd,pre1500AverageCaloriessum,pre1500MaximumCalories00count,pre1500MaximumCalories00gini,pre1500MaximumCalories00majority,pre1500MaximumCalories00max,pre1500MaximumCalories00mean,pre1500MaximumCalories00median,pre1500MaximumCalories00min,pre1500MaximumCalories00std,pre1500MaximumCalories00sum,pre1500MaximumCalories0count,pre1500MaximumCalories0gini,pre1500MaximumCalories0majority,pre1500MaximumCalories0max,pre1500MaximumCalories0mean,pre1500MaximumCalories0median,pre1500MaximumCalories0min,pre1500MaximumCalories0std,pre1500MaximumCalories0sum,pre1500MaximumCaloriescount,pre1500MaximumCaloriesgini,pre1500MaximumCaloriesmajority,pre1500MaximumCaloriesmax,pre1500MaximumCaloriesmean,pre1500MaximumCaloriesmedian,pre1500MaximumCaloriesmin,pre1500MaximumCaloriesstd,pre1500MaximumCaloriessum
62266581604.0,489443020.0,5,A,54,+38.6472854,-080.6183274,00,G4000,West Virginia,3,54,01779805,WV,62755.506231,2085.49106503,-8974421.32871,3962330.29553,0,952,0.019450021598,5307.00195312,6043.15820312,5357.65861345,5331.34960938,4350.26855469,200.831328953,5100491.0,952,0.019450021598,5307.00195312,6043.15820312,5357.65861345,5331.34960938,4350.26855469,200.831328953,5100491.0,952,0.0302752293871,2473.1484375,2893.06738281,2496.27258403,2484.00097656,1864.40075684,146.177521005,2376451.5,952,0.064073704815,13621.8007812,17377.6503906,13589.8172269,13820.7255859,8944.3203125,1579.73358035,12937506.0,952,0.064073704815,13621.8007812,17377.6503906,13589.8172269,13820.7255859,8944.3203125,1579.73358035,12937506.0,952,0.064073704815,13621.8007812,17377.6503906,13589.8172269,13820.7255859,8944.3203125,1579.73358035,12937506.0,895,0.0401832369113,6739.02148438,7129.56738281,6370.49717015,6428.29736328,3896.82714844,474.660370743,5701594.96729,895,0.0401832369113,6739.02148438,7129.56738281,6370.49717015,6428.29736328,3896.82714844,474.660370743,5701594.96729,895,0.0594692550059,3166.06933594,4009.40209961,3167.38073267,3152.40014648,1818.51940918,349.616166828,2834805.75574,895,0.0634632700602,13870.0,17388.5996094,13591.9429611,13848.1005859,8906.0,1574.177869,12164788.9502,895,0.0634632700602,13870.0,17388.5996094,13591.9429611,13848.1005859,8906.0,1574.177869,12164788.9502,895,0.0634632700602,13870.0,17388.5996094,13591.9429611,13848.1005859,8906.0,1574.177869,12164788.9502,944,0.0403421358719,6391.40673828,7121.71728516,6353.44420921,6403.00439453,3896.82714844,473.470595904,5997651.3335,944,0.0403421358719,6391.40673828,7121.71728516,6353.44420921,6403.00439453,3896.82714844,473.470595904,5997651.3335,944,0.0613887175171,2471.40869141,4007.05078125,3171.98028422,3150.34106445,1818.51940918,358.320302381,2994349.38831,944,0.0648556444896,13870.0,17377.6503906,13598.8842494,13848.1005859,8906.0,1601.35159058,12837346.7314,944,0.0648556444896,13870.0,17377.6503906,13598.8842494,13848.1005859,8906.0,1601.35159058,12837346.7314,944,0.0648556444896,13870.0,17377.6503906,13598.8842494,13848.1005859,8906.0,1601.35159058,12837346.7314
1.38903200855e+11,31407883551.0,5,A,12,+28.4574302,-082.4091478,00,G4000,Florida,3,12,00294478,FL,170310.232906,3341.94649258,-9177766.06426,3019707.56651,1,2215,0.0309405601693,4993.16943359,5119.01269531,4718.2744921,4793.03320312,3864.10595703,268.928589043,10450978.0,2215,0.0309405601693,4993.16943359,5119.01269531,4718.2744921,4793.03320312,3864.10595703,268.928589043,10450978.0,2215,0.0435769932526,2665.91040039,3212.92138672,2836.49571106,2855.97119141,2100.89624023,219.093638825,6282838.0,2215,0.0340382088511,19100.4511719,19348.6503906,18178.6744921,18658.8007812,13067.0,1471.61325767,40265764.0,2215,0.0340382088511,19100.4511719,19348.6503906,18178.6744921,18658.8007812,13067.0,1471.61325767,40265764.0,2215,0.0340382088511,19100.4511719,19348.6503906,18178.6744921,18658.8007812,13067.0,1471.61325767,40265764.0,2106,0.0290364575612,6502.04394531,7119.73925781,6654.92412049,6804.89575195,5328.72900391,396.859688124,14015270.1978,2106,0.0290364575612,6502.04394531,7119.73925781,6654.92412049,6804.89575195,5328.72900391,396.859688124,14015270.1978,2106,0.037665945051,4334.69580078,5179.32080078,4777.87216016,4950.45263672,3926.85327148,329.549395676,10062198.7693,2106,0.0340506166553,19100.4511719,19345.0,18178.5116895,18655.1503906,13067.0,1464.96286108,38283945.6182,2106,0.0340506166553,19100.4511719,19345.0,18178.5116895,18655.1503906,13067.0,1464.96286108,38283945.6182,2106,0.0340506166553,19100.4511719,19345.0,18178.5116895,18655.1503906,13067.0,1464.96286108,38283945.6182,2212,0.0288243103994,6502.04394531,7122.74902344,6657.31929665,6805.87792969,5328.72900391,394.857875814,14725990.2842,2212,0.0288243103994,6502.04394531,7122.74902344,6657.31929665,6805.87792969,5328.72900391,394.857875814,14725990.2842,2212,0.0373878843752,4334.69580078,5179.32080078,4781.83436151,4952.81298828,3926.85327148,327.449765913,10577417.6077,2212,0.0338102116093,19100.4511719,19341.3496094,18184.6485699,18662.4511719,13067.0,1458.07026291,40224442.6367,2212,0.0338102116093,19100.4511719,19341.3496094,18184.6485699,18662.4511719,13067.0,1458.07026291,40224442.6367,2212,0.0338102116093,19100.4511719,19341.3496094,18184.6485699,18662.4511719,13067.0,1458.07026291,40224442.6367
1.43794747023e+11,6200927458.0,3,A,17,+40.1028754,-089.1526108,00,G4000,Illinois,2,17,01779784,IL,149995.624053,2249.3735932,-9924058.49966,4086915.62352,2,2066,0.0128029052183,5835.00927734,6217.57617188,5859.37463698,5854.74316406,5155.32910156,144.10018565,12105468.0,2066,0.0128029052183,5835.00927734,6217.57617188,5859.37463698,5854.74316406,5155.32910156,144.10018565,12105468.0,2066,0.00918471689702,2865.79125977,2979.65209961,2860.83954501,2869.77294922,2701.2097168,47.8312973967,5910494.5,2066,0.0365595967945,14855.5,17271.8007812,14804.5672798,14913.9003906,12153.0400391,1074.28298608,30586236.0,2066,0.0365595967945,14855.5,17271.8007812,14804.5672798,14913.9003906,12153.0400391,1074.28298608,30586236.0,2066,0.0365595967945,14855.5,17271.8007812,14804.5672798,14913.9003906,12153.0400391,1074.28298608,30586236.0,1910,0.0226670901204,6627.15576172,7470.25,6469.9466191,6454.91577148,6003.17333984,277.196559994,12357598.0425,1910,0.0226670901204,6627.15576172,7470.25,6469.9466191,6454.91577148,6003.17333984,277.196559994,12357598.0425,1910,0.0354401588931,3520.15405273,4103.64013672,3715.4165149,3827.53076172,2965.24682617,256.549539833,7096445.54346,1910,0.0353862193452,14855.5,17271.8007812,14828.3210784,14917.5507812,12147.2001953,1045.29921778,28322093.2598,1910,0.0353862193452,14855.5,17271.8007812,14828.3210784,14917.5507812,12147.2001953,1045.29921778,28322093.2598,1910,0.0353862193452,14855.5,17271.8007812,14828.3210784,14917.5507812,12147.2001953,1045.29921778,28322093.2598,2027,0.0233320978568,6625.92773438,7471.32324219,6475.37211271,6454.20556641,6003.17333984,286.583639515,13125579.2725,2027,0.0233320978568,6625.92773438,7471.32324219,6475.37211271,6454.20556641,6003.17333984,286.583639515,13125579.2725,2027,0.0357443100394,3893.02612305,4095.8215332,3712.70489228,3826.31152344,2965.24682617,257.46785862,7525652.81665,2027,0.0355793889009,14855.5,17271.8007812,14824.8584037,14921.2001953,12147.2001953,1049.30468333,30049987.9844,2027,0.0355793889009,14855.5,17271.8007812,14824.8584037,14921.2001953,12147.2001953,1049.30468333,30049987.9844,2027,0.0355793889009,14855.5,17271.8007812,14824.8584037,14921.2001953,12147.2001953,1049.30468333,30049987.9844
2.06236605303e+11,18924324242.0,4,A,27,+46.3161343,-094.1994801,00,G4000,Minnesota,2,27,00662849,MN,225161.660954,3532.50699595,-10486139.1373,4589654.45011,3,3084,0.125889630824,5160.90673828,6107.26416016,4450.44098573,4634.85058594,2407.53149414,981.141525269,13725160.0,3084,0.125889630824,5160.90673828,6107.26416016,4450.44098573,4634.85058594,2407.53149414,981.141525269,13725160.0,3084,0.166758047575,2571.96728516,2811.28051758,1852.74870298,1980.03198242,649.651367188,545.446520398,5713877.0,3084,0.139419242776,12345.7607422,12702.0,9531.59338521,9995.16015625,4427.80029297,2355.66655279,29395434.0,3084,0.139419242776,12345.7607422,12702.0,9531.59338521,9995.16015625,4427.80029297,2355.66655279,29395434.0,3084,0.139419242776,12345.7607422,12702.0,9531.59338521,9995.16015625,4427.80029297,2355.66655279,29395434.0,2890,0.156368246258,6125.41455078,6853.50585938,4965.40173809,5415.50463867,1681.75,1414.67564469,14350011.0231,2890,0.156368246258,6125.41455078,6853.50585938,4965.40173809,5415.50463867,1681.75,1414.67564469,14350011.0231,2890,0.18317891186,2873.38061523,3198.30273438,2257.37011864,2527.23535156,291.382659912,771.882650025,6523799.64288,2890,0.157036744656,12345.7607422,12702.0,9370.10632721,10065.2402344,2516.58007812,2640.13892811,27079607.2856,2890,0.157036744656,12345.7607422,12702.0,9370.10632721,10065.2402344,2516.58007812,2640.13892811,27079607.2856,2890,0.157036744656,12345.7607422,12702.0,9370.10632721,10065.2402344,2516.58007812,2640.13892811,27079607.2856,2995,0.158150147779,5193.75585938,6755.89160156,4929.69542071,5356.79443359,1681.75,1415.25511683,14764437.785,2995,0.158150147779,5193.75585938,6755.89160156,4929.69542071,5356.79443359,1681.75,1415.25511683,14764437.785,2995,0.18564966688,3074.98413086,3152.74926758,2239.58077932,2499.83740234,289.234008789,772.837138426,6707544.43405,2995,0.158611588711,12363.2802734,12468.4003906,9298.96599182,9928.0,2485.89013672,2638.21019604,27850403.1455,2995,0.158611588711,12363.2802734,12468.4003906,9298.96599182,9928.0,2485.89013672,2638.21019604,27850403.1455,2995,0.158611588711,12363.2802734,12468.4003906,9298.96599182,9928.0,2485.89013672,2638.21019604,27850403.1455
25147575220.0,6983455225.0,5,A,24,+38.9466584,-076.6744939,00,G4000,Maryland,3,24,01714934,MD,32131.1112013,1556.22185372,-8536322.57388,3988937.77897,4,493,0.0148105186902,5751.40673828,6124.72460938,5637.29513185,5647.66308594,5022.85644531,156.751867845,2779186.5,493,0.0148105186902,5751.40673828,6124.72460938,5637.29513185,5647.66308594,5022.85644531,156.751867845,2779186.5,493,0.0269563346221,2965.91455078,3044.44091797,2832.26876268,2848.08496094,2152.65258789,151.400333064,1396308.5,493,0.0678288106795,17885.0,18202.5507812,16040.7707911,16640.3496094,10663.8398438,1995.91852911,7908100.0,493,0.0678288106795,17885.0,18202.5507812,16040.7707911,16640.3496094,10663.8398438,1995.91852911,7908100.0,493,0.0678288106795,17885.0,18202.5507812,16040.7707911,16640.3496094,10663.8398438,1995.91852911,7908100.0,474,0.0414142789909,7083.50585938,7246.66894531,6642.12217951,6824.85400391,5025.63427734,496.954312397,3148365.91309,474,0.0414142789909,7083.50585938,7246.66894531,6642.12217951,6824.85400391,5025.63427734,496.954312397,3148365.91309,474,0.0638724135177,3245.48193359,4348.00146484,3857.74927221,4013.98632812,2345.29614258,464.389263607,1828573.15503,474,0.0683019421919,13891.9003906,18202.5507812,16016.1187203,16585.5996094,10401.0400391,2000.37450922,7591640.27344,474,0.0683019421919,13891.9003906,18202.5507812,16016.1187203,16585.5996094,10401.0400391,2000.37450922,7591640.27344,474,0.0683019421919,13891.9003906,18202.5507812,16016.1187203,16585.5996094,10401.0400391,2000.37450922,7591640.27344,500,0.0426120830621,6923.70117188,7254.52978516,6618.49592773,6780.96044922,5240.53564453,505.309544771,3309247.96387,500,0.0426120830621,6923.70117188,7254.52978516,6618.49592773,6780.96044922,5240.53564453,505.309544771,3309247.96387,500,0.0639087414202,4154.22070312,4352.71777344,3856.4953208,4013.98632812,2445.58325195,466.223613229,1928247.6604,500,0.0690347634468,18016.4003906,18202.5507812,15988.1712617,16574.6503906,10663.8398438,2016.34708071,7994085.63086,500,0.0690347634468,18016.4003906,18202.5507812,15988.1712617,16574.6503906,10663.8398438,2016.34708071,7994085.63086,500,0.0690347634468,18016.4003906,18202.5507812,15988.1712617,16574.6503906,10663.8398438,2016.34708071,7994085.63086
2677751247.0,1323482672.0,1,A,44,+41.5974187,-071.5272723,00,G4000,Rhode Island,1,44,01219835,RI,4001.28079784,360.78306457,-7962097.67153,4214019.95839,5,63,0.0124995208368,5810.45458984,6221.77099609,5963.00347222,5969.62597656,5756.27880859,131.450447843,375669.21875,63,0.0124995208368,5810.45458984,6221.77099609,5963.00347222,5969.62597656,5756.27880859,131.450447843,375669.21875,63,0.0124995461138,2766.88305664,2962.74804688,2839.52529762,2842.67895508,2741.08520508,62.5954509225,178890.09375,63,0.0236351373471,13975.8505859,14030.6005859,12346.3978175,12100.4804688,11840.6005859,663.850241287,777823.0625,63,0.0236351373471,13975.8505859,14030.6005859,12346.3978175,12100.4804688,11840.6005859,663.850241287,777823.0625,63,0.0236351373471,13975.8505859,14030.6005859,12346.3978175,12100.4804688,11840.6005859,663.850241287,777823.0625,59,0.0218138961229,6211.86865234,7271.734375,6657.72021484,6590.87304688,6211.86865234,270.968182954,392805.492676,59,0.0218138961229,6211.86865234,7271.734375,6657.72021484,6590.87304688,6211.86865234,270.968182954,392805.492676,59,0.0218138977043,2898.87207031,3393.47607422,3106.93610136,3075.74072266,2898.87207031,126.451838243,183309.22998,59,0.023235100756,13975.8505859,13975.8505859,12367.1159627,12099.75,11840.6005859,638.149321336,729659.841797,59,0.023235100756,13975.8505859,13975.8505859,12367.1159627,12099.75,11840.6005859,638.149321336,729659.841797,59,0.023235100756,13975.8505859,13975.8505859,12367.1159627,12099.75,11840.6005859,638.149321336,729659.841797,61,0.0206300877558,6679.41748047,7263.11425781,6643.63651063,6590.99707031,6211.86865234,255.54066572,405261.827148,61,0.0206300877558,6679.41748047,7263.11425781,6643.63651063,6590.99707031,6211.86865234,255.54066572,405261.827148,61,0.0206300867364,3117.0612793,3389.45336914,3100.36370549,3075.79882812,2898.87207031,119.252314709,189122.186035,61,0.0207343121212,12081.5,14030.6005859,12328.0009926,12099.75,11896.0800781,592.171352301,752008.060547,61,0.0207343121212,12081.5,14030.6005859,12328.0009926,12099.75,11896.0800781,592.171352301,752008.060547,61,0.0207343121212,12081.5,14030.6005859,12328.0009926,12099.75,11896.0800781,592.171352301,752008.060547
2.14045425549e+11,2397728105.0,8,A,16,+44.3020993,-114.5956279,00,G4000,Idaho,4,16,01779783,ID,216441.805264,2992.36340214,-12761213.7863,4435587.04668,6,3012,0.224065550887,0.0,3984.65893555,2049.2875166,2002.36352539,0.0,845.153909932,6172454.0,2867,0.184822266924,2122.66064453,3984.65893555,2152.93128706,2038.05651855,228.569992065,726.135313765,6172454.0,3012,0.295937229366,0.0,1834.20800781,631.649485392,615.04901123,0.0,337.556723874,1902528.25,3012,0.249577966613,0.0,8719.04003906,4480.57802125,4363.04003906,0.0,2029.71393192,13495501.0,2867,0.211624986201,4167.68017578,8719.04003906,4707.18555982,4484.47998047,257.070007324,1805.93822022,13495501.0,3012,0.249577966613,0.0,8719.04003906,4480.57802125,4363.04003906,0.0,2029.71393192,13495501.0,2824,0.294647973029,0.0,3255.36303711,1029.66289796,937.512115479,0.0,552.495697384,2907768.02383,2637,0.244628697699,647.570007324,3255.36303711,1102.68032758,987.453369141,402.709991455,496.370014945,2907768.02383,2824,0.530932375781,0.0,1519.16943359,230.699056862,139.509338379,0.0,249.925892607,651494.13658,2824,0.421617183867,0.0,6634.24023438,1605.27648188,1097.92004395,0.0,1300.11434125,4533300.78482,2637,0.380601792659,682.219970703,6634.24023438,1719.11292561,1226.40002441,402.709991455,1270.61607165,4533300.78482,2824,0.421617183867,0.0,6634.24023438,1605.27648188,1097.92004395,0.0,1300.11434125,4533300.78482,2963,0.293273002067,0.0,3302.95727539,1022.11525148,931.699951172,0.0,547.519293769,3028527.49014,2773,0.244849587135,677.599975586,3302.95727539,1092.14839169,976.440002441,408.869995117,493.792362413,3028527.49014,2963,0.530178878205,0.0,1541.38000488,227.601950686,137.118667603,0.0,247.4410101,674384.579882,2963,0.418682677512,0.0,6634.24023438,1587.0841465,1092.08007812,0.0,1278.80828,4702530.32608,2773,0.378852063998,2756.47998047,6634.24023438,1695.8277411,1203.04003906,408.869995117,1250.19635339,4702530.32608,2963,0.418682677512,0.0,6634.24023438,1587.0841465,1092.08007812,0.0,1278.80828,4702530.32608
23187964254.0,1026252314.0,1,A,33,+43.6726907,-071.5843145,00,G4000,New Hampshire,1,33,01779794,NH,24214.2202021,980.967131291,-7967419.18106,4383956.12269,7,365,0.10353276035,5378.26367188,5942.41699219,4750.15650685,4925.34423828,1812.06848145,869.990546319,1733807.125,365,0.10353276035,5378.26367188,5942.41699219,4750.15650685,4925.34423828,1812.06848145,869.990546319,1733807.125,365,0.156650999272,1837.93200684,2735.3984375,2047.99554795,2267.22192383,460.207855225,581.085238837,747518.375,365,0.0990774654611,9303.36035156,12147.2001953,9723.48356164,9472.48046875,3076.47998047,1699.96914718,3549071.5,365,0.0990774654611,9303.36035156,12147.2001953,9723.48356164,9472.48046875,3076.47998047,1699.96914718,3549071.5,365,0.0990774654611,9303.36035156,12147.2001953,9723.48356164,9472.48046875,3076.47998047,1699.96914718,3549071.5,349,0.167307066481,2184.875,6368.63623047,4626.78265258,5020.41015625,1380.06005859,1397.37052273,1614747.14575,349,0.167307066481,2184.875,6368.63623047,4626.78265258,5020.41015625,1380.06005859,1397.37052273,1614747.14575,349,0.225065342725,2470.32421875,2972.0300293,2034.42402601,2342.85791016,184.007995605,855.087290045,710013.985077,349,0.192657428045,11989.5205078,12147.2001953,8631.72951038,9349.83984375,1494.56994629,2979.6200398,3012473.59912,349,0.192657428045,11989.5205078,12147.2001953,8631.72951038,9349.83984375,1494.56994629,2979.6200398,3012473.59912,349,0.192657428045,11989.5205078,12147.2001953,8631.72951038,9349.83984375,1494.56994629,2979.6200398,3012473.59912,370,0.172359821874,5750.85888672,6368.63623047,4622.7387438,5048.30810547,0.0,1443.99851926,1710413.33521,369,0.170116894562,5750.85888672,6368.63623047,4635.26649107,5049.64746094,1380.06005859,1425.73245736,1710413.33521,370,0.233849259058,2683.73413086,2972.0300293,2024.69913578,2355.87695312,0.0,884.918440273,749138.680237,370,0.200460757307,11995.3603516,12147.2001953,8602.94620064,9449.12011719,0.0,3104.41830529,3183090.09424,369,0.198293984291,11995.3603516,12147.2001953,8626.26041799,9472.48046875,1494.56994629,3076.10405455,3183090.09424,370,0.200460757307,11995.3603516,12147.2001953,8602.94620064,9449.12011719,0.0,3104.41830529,3183090.09424
1.25917995955e+11,13472722504.0,5,A,37,+35.5397100,-079.1308636,00,G4000,North Carolina,3,37,01027616,NC,139390.770257,2404.62360588,-8808736.49434,3686313.39823,8,1900,0.0447007394794,4481.40332031,5967.10400391,5264.70157895,5391.19091797,4474.11523438,413.686400423,10002933.0,1900,0.0447007394794,4481.40332031,5967.10400391,5264.70157895,5391.19091797,4474.11523438,413.686400423,10002933.0,1900,0.0385940580249,2703.06860352,3427.99951172,2922.66236842,2932.70166016,2125.18969727,206.302975972,5553058.5,1900,0.0394084410844,18706.25,19012.8496094,17859.6568421,18490.9003906,10447.7607422,1719.27489244,33933348.0,1900,0.0394084410844,18706.25,19012.8496094,17859.6568421,18490.9003906,10447.7607422,1719.27489244,33933348.0,1900,0.0394084410844,18706.25,19012.8496094,17859.6568421,18490.9003906,10447.7607422,1719.27489244,33933348.0,1813,0.0287500792129,6662.06005859,7521.93017578,6943.19127024,7009.44189453,5222.41894531,384.439478884,12588005.7729,1813,0.0287500792129,6662.06005859,7521.93017578,6943.19127024,7009.44189453,5222.41894531,384.439478884,12588005.7729,1813,0.0510049076563,4441.37353516,4839.25146484,4266.56200754,4382.08691406,2437.12866211,458.368538423,7735276.91968,1813,0.0382931710499,18706.25,19009.2011719,17876.1912678,18479.9511719,10447.7607422,1656.89477474,32409534.7686,1813,0.0382931710499,18706.25,19009.2011719,17876.1912678,18479.9511719,10447.7607422,1656.89477474,32409534.7686,1813,0.0382931710499,18706.25,19009.2011719,17876.1912678,18479.9511719,10447.7607422,1656.89477474,32409534.7686,1883,0.0288823950995,6662.06005859,7521.93017578,6939.29769701,7007.10595703,5222.41894531,385.643041501,13066697.5635,1883,0.0288823950995,6662.06005859,7521.93017578,6939.29769701,7007.10595703,5222.41894531,385.643041501,13066697.5635,1883,0.0513880122297,4441.37353516,4835.80859375,4265.44831311,4383.12353516,2437.12866211,462.557771359,8031839.17358,1883,0.0386785323742,18231.75,19012.8496094,17873.0191693,18490.9003906,10447.7607422,1681.48213555,33654895.0957,1883,0.0386785323742,18231.75,19012.8496094,17873.0191693,18490.9003906,10447.7607422,1681.48213555,33654895.0957,1883,0.0386785323742,18231.75,19012.8496094,17873.0191693,18490.9003906,10447.7607422,1681.48213555,33654895.0957
23871896411.0,1034369068.0,1,A,50,+44.0604795,-072.6733273,00,G4000,Vermont,1,50,01779802,VT,24906.2562761,972.551647893,-8088944.31704,4415686.975,9,385,0.0856444291398,3823.29760742,5837.72070312,4483.0538961,4370.96386719,3497.41064453,682.575413273,1725975.75,385,0.0856444291398,3823.29760742,5837.72070312,4483.0538961,4370.96386719,3497.41064453,682.575413273,1725975.75,385,0.148293125585,1315.64831543,2687.20483398,1862.32012987,1873.2701416,1165.8034668,487.586539771,716993.25,385,0.0711392574634,8395.20019531,12112.1601562,9394.91948052,9092.16015625,7384.95996094,1240.64593147,3617044.0,385,0.0711392574634,8395.20019531,12112.1601562,9394.91948052,9092.16015625,7384.95996094,1240.64593147,3617044.0,385,0.0711392574634,8395.20019531,12112.1601562,9394.91948052,9092.16015625,7384.95996094,1240.64593147,3617044.0,364,0.177543667339,3457.80151367,6200.93017578,4062.81703337,4058.59143066,2305.75805664,1266.33244434,1478865.40015,364,0.177543667339,3457.80151367,6200.93017578,4062.81703337,4058.59143066,2305.75805664,1266.33244434,1478865.40015,364,0.244132634179,938.705322266,2893.76733398,1752.2267617,1894.00939941,635.55267334,756.800680328,637810.54126,364,0.170861820954,6172.88037109,12129.6806641,7839.21150426,7288.3203125,3556.56005859,2366.80616697,2853472.98755,364,0.170861820954,6172.88037109,12129.6806641,7839.21150426,7288.3203125,3556.56005859,2366.80616697,2853472.98755,364,0.170861820954,6172.88037109,12129.6806641,7839.21150426,7288.3203125,3556.56005859,2366.80616697,2853472.98755,374,0.174763437307,3956.13867188,6200.93017578,4200.29434873,4134.79931641,2297.67602539,1283.78704315,1570910.08643,374,0.174763437307,3956.13867188,6200.93017578,4200.29434873,4134.79931641,2297.67602539,1283.78704315,1570910.08643,374,0.233533444015,797.840698242,2893.76733398,1833.51395959,1929.57305908,651.228027344,758.197385182,685734.220886,374,0.170401070629,6202.08007812,12129.6806641,8091.56421355,7463.52026367,3667.52001953,2420.07335188,3026245.01587,374,0.170401070629,6202.08007812,12129.6806641,8091.56421355,7463.52026367,3667.52001953,2420.07335188,3026245.01587,374,0.170401070629,6202.08007812,12129.6806641,8091.56421355,7463.52026367,3667.52001953,2420.07335188,3026245.01587
