ALAND,AWATER,DIVISION,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAME,REGION,STATEFP,STATENS,STUSPS,area,boundary,X,Y,ID_GEOFLA,post1500AverageCaloriescount,post1500AverageCaloriesgini,post1500AverageCaloriesmajority,post1500AverageCaloriesmax,post1500AverageCaloriesmean,post1500AverageCaloriesmedian,post1500AverageCaloriesmin,post1500AverageCaloriesstd,post1500AverageCaloriessum
62266581604.0,489443020.0,5,A,54,+38.6472854,-080.6183274,00,G4000,West Virginia,3,54,01779805,WV,62755.506231,2085.49106503,-8974421.32871,3962330.29553,0,952,0.0302752293871,2473.1484375,2893.06738281,2496.27258403,2484.00097656,1864.40075684,146.177521005,2376451.5
1.38903200855e+11,31407883551.0,5,A,12,+28.4574302,-082.4091478,00,G4000,Florida,3,12,00294478,FL,170310.232906,3341.94649258,-9177766.06426,3019707.56651,1,2215,0.0435769932526,2665.91040039,3212.92138672,2836.49571106,2855.97119141,2100.89624023,219.093638825,6282838.0
1.43794747023e+11,6200927458.0,3,A,17,+40.1028754,-089.1526108,00,G4000,Illinois,2,17,01779784,IL,149995.624053,2249.3735932,-9924058.49966,4086915.62352,2,2066,0.00918471689702,2865.79125977,2979.65209961,2860.83954501,2869.77294922,2701.2097168,47.8312973967,5910494.5
2.06236605303e+11,18924324242.0,4,A,27,+46.3161343,-094.1994801,00,G4000,Minnesota,2,27,00662849,MN,225161.660954,3532.50699595,-10486139.1373,4589654.45011,3,3084,0.166758047575,2571.96728516,2811.28051758,1852.74870298,1980.03198242,649.651367188,545.446520398,5713877.0
25147575220.0,6983455225.0,5,A,24,+38.9466584,-076.6744939,00,G4000,Maryland,3,24,01714934,MD,32131.1112013,1556.22185372,-8536322.57388,3988937.77897,4,493,0.0269563346221,2965.91455078,3044.44091797,2832.26876268,2848.08496094,2152.65258789,151.400333064,1396308.5
2677751247.0,1323482672.0,1,A,44,+41.5974187,-071.5272723,00,G4000,Rhode Island,1,44,01219835,RI,4001.28079784,360.78306457,-7962097.67153,4214019.95839,5,63,0.0124995461138,2766.88305664,2962.74804688,2839.52529762,2842.67895508,2741.08520508,62.5954509225,178890.09375
2.14045425549e+11,2397728105.0,8,A,16,+44.3020993,-114.5956279,00,G4000,Idaho,4,16,01779783,ID,216441.805264,2992.36340214,-12761213.7863,4435587.04668,6,3012,0.295937229366,0.0,1834.20800781,631.649485392,615.04901123,0.0,337.556723874,1902528.25
23187964254.0,1026252314.0,1,A,33,+43.6726907,-071.5843145,00,G4000,New Hampshire,1,33,01779794,NH,24214.2202021,980.967131291,-7967419.18106,4383956.12269,7,365,0.156650999272,1837.93200684,2735.3984375,2047.99554795,2267.22192383,460.207855225,581.085238837,747518.375
1.25917995955e+11,13472722504.0,5,A,37,+35.5397100,-079.1308636,00,G4000,North Carolina,3,37,01027616,NC,139390.770257,2404.62360588,-8808736.49434,3686313.39823,8,1900,0.0385940580249,2703.06860352,3427.99951172,2922.66236842,2932.70166016,2125.18969727,206.302975972,5553058.5
23871896411.0,1034369068.0,1,A,50,+44.0604795,-072.6733273,00,G4000,Vermont,1,50,01779802,VT,24906.2562761,972.551647893,-8088944.31704,4415686.975,9,385,0.148293125585,1315.64831543,2687.20483398,1862.32012987,1873.2701416,1165.8034668,487.586539771,716993.25
12542396439.0,1814978794.0,1,A,09,+41.5797777,-072.7466665,00,G4000,Connecticut,1,09,01779780,CT,14357.7110427,584.88512141,-8097245.15673,4212352.98936,10,200,0.0215128874553,2769.18286133,2937.45336914,2742.9915625,2781.27490234,1914.93225098,125.288661698,548598.3125
5047093738.0,1398754502.0,5,A,10,+38.9985380,-075.4416616,00,G4000,Delaware,3,10,01779781,DE,6445.84191706,399.848001557,-8399273.06795,3993403.78312,11,105,0.0139756526264,2900.11645508,2955.58251953,2837.44107143,2858.89038086,2643.86938477,73.8028301496,297931.3125
3.14161410324e+11,755712514.0,8,A,35,+34.4346843,-106.1316181,00,G4000,New Mexico,4,35,00897535,NM,314917.908855,2416.1784229,-11812158.0074,3582772.70957,12,4337,0.433061131029,0.0,1236.01403809,410.806202444,390.43182373,0.0,317.345968802,1781666.5
4.03483823181e+11,20483271881.0,9,A,06,+37.1551773,-119.5434183,00,G4000,California,4,06,01779778,CA,423967.004819,4357.51916754,-13313380.5929,3826441.24884,13,5683,0.410926115982,0.0,2016.73120117,694.860417033,709.827941895,0.0,499.416905822,3948891.75
