ALAND,AWATER,DIVISION,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAME,REGION,STATEFP,STATENS,STUSPS,area,boundary,X,Y,ID_GEOFLA,post1500MaximumCalories00count,post1500MaximumCalories00gini,post1500MaximumCalories00majority,post1500MaximumCalories00max,post1500MaximumCalories00mean,post1500MaximumCalories00median,post1500MaximumCalories00min,post1500MaximumCalories00std,post1500MaximumCalories00sum
62266581604.0,489443020.0,5,A,54,+38.6472854,-080.6183274,00,G4000,West Virginia,3,54,01779805,WV,62755.506231,2085.49106503,-8974421.32871,3962330.29553,0,952,0.064073704815,13621.8007812,17377.6503906,13589.8172269,13820.7255859,8944.3203125,1579.73358035,12937506.0
1.38903200855e+11,31407883551.0,5,A,12,+28.4574302,-082.4091478,00,G4000,Florida,3,12,00294478,FL,170310.232906,3341.94649258,-9177766.06426,3019707.56651,1,2215,0.0340382088511,19100.4511719,19348.6503906,18178.6744921,18658.8007812,13067.0,1471.61325767,40265764.0
1.43794747023e+11,6200927458.0,3,A,17,+40.1028754,-089.1526108,00,G4000,Illinois,2,17,01779784,IL,149995.624053,2249.3735932,-9924058.49966,4086915.62352,2,2066,0.0365595967945,14855.5,17271.8007812,14804.5672798,14913.9003906,12153.0400391,1074.28298608,30586236.0
2.06236605303e+11,18924324242.0,4,A,27,+46.3161343,-094.1994801,00,G4000,Minnesota,2,27,00662849,MN,225161.660954,3532.50699595,-10486139.1373,4589654.45011,3,3084,0.139419242776,12345.7607422,12702.0,9531.59338521,9995.16015625,4427.80029297,2355.66655279,29395434.0
25147575220.0,6983455225.0,5,A,24,+38.9466584,-076.6744939,00,G4000,Maryland,3,24,01714934,MD,32131.1112013,1556.22185372,-8536322.57388,3988937.77897,4,493,0.0678288106795,17885.0,18202.5507812,16040.7707911,16640.3496094,10663.8398438,1995.91852911,7908100.0
2677751247.0,1323482672.0,1,A,44,+41.5974187,-071.5272723,00,G4000,Rhode Island,1,44,01219835,RI,4001.28079784,360.78306457,-7962097.67153,4214019.95839,5,63,0.0236351373471,13975.8505859,14030.6005859,12346.3978175,12100.4804688,11840.6005859,663.850241287,777823.0625
2.14045425549e+11,2397728105.0,8,A,16,+44.3020993,-114.5956279,00,G4000,Idaho,4,16,01779783,ID,216441.805264,2992.36340214,-12761213.7863,4435587.04668,6,3012,0.249577966613,0.0,8719.04003906,4480.57802125,4363.04003906,0.0,2029.71393192,13495501.0
23187964254.0,1026252314.0,1,A,33,+43.6726907,-071.5843145,00,G4000,New Hampshire,1,33,01779794,NH,24214.2202021,980.967131291,-7967419.18106,4383956.12269,7,365,0.0990774654611,9303.36035156,12147.2001953,9723.48356164,9472.48046875,3076.47998047,1699.96914718,3549071.5
1.25917995955e+11,13472722504.0,5,A,37,+35.5397100,-079.1308636,00,G4000,North Carolina,3,37,01027616,NC,139390.770257,2404.62360588,-8808736.49434,3686313.39823,8,1900,0.0394084410844,18706.25,19012.8496094,17859.6568421,18490.9003906,10447.7607422,1719.27489244,33933348.0
23871896411.0,1034369068.0,1,A,50,+44.0604795,-072.6733273,00,G4000,Vermont,1,50,01779802,VT,24906.2562761,972.551647893,-8088944.31704,4415686.975,9,385,0.0711392574634,8395.20019531,12112.1601562,9394.91948052,9092.16015625,7384.95996094,1240.64593147,3617044.0
12542396439.0,1814978794.0,1,A,09,+41.5797777,-072.7466665,00,G4000,Connecticut,1,09,01779780,CT,14357.7110427,584.88512141,-8097245.15673,4212352.98936,10,200,0.0284187526221,12059.6005859,14355.4501953,12184.48,12024.5605469,9433.59960938,766.144007351,2436896.0
5047093738.0,1398754502.0,5,A,10,+38.9985380,-075.4416616,00,G4000,Delaware,3,10,01779781,DE,6445.84191706,399.848001557,-8399273.06795,3993403.78312,11,105,0.0283554241057,17114.8496094,17928.8007812,16578.8559524,16866.6503906,14636.5,853.243135114,1740779.875
3.14161410324e+11,755712514.0,8,A,35,+34.4346843,-106.1316181,00,G4000,New Mexico,4,35,00897535,NM,314917.908855,2416.1784229,-11812158.0074,3582772.70957,12,4337,0.317895717616,0.0,5632.0,2594.61770809,2937.06005859,0.0,1521.4979064,11252857.0
4.03483823181e+11,20483271881.0,9,A,06,+37.1551773,-119.5434183,00,G4000,California,4,06,01779778,CA,423967.004819,4357.51916754,-13313380.5929,3826441.24884,13,5683,0.355131949577,0.0,10109.4404297,4245.40137251,4980.79980469,0.0,2676.08072679,24126616.0
19048769408.0,3542752545.0,2,A,34,+40.1072744,-074.6652012,00,G4000,New Jersey,1,34,01779795,NJ,22591.5406716,849.43031427,-8310757.82828,4088510.84163,14,327,0.0395677387181,14464.9501953,16191.4003906,14223.206422,14486.8505859,11570.5,1142.79220261,4650988.5
1.40269495483e+11,29365430262.0,3,A,55,+44.6309071,-089.7093916,00,G4000,Wisconsin,2,55,01779806,WI,169635.014088,2338.84018924,-9987740.51312,4458706.40452,15,2062,0.0753628002294,9381.06054688,13953.9501953,10892.2318138,11513.5605469,8197.74023438,1481.40243407,22459782.0
2.48608666869e+11,6190902750.0,9,A,41,+43.9717125,-120.6229578,00,G4000,Oregon,4,41,01155107,OR,254799.96734,2630.23208657,-13426031.2834,4403115.08289,16,3479,0.220303709652,0.0,10274.8798828,5317.72923254,5096.95996094,0.0,2147.76028183,18500380.0
1.98972282955e+11,1356441861.0,4,A,31,+41.5433014,-099.8118616,00,G4000,Nebraska,2,31,01779792,NE,200328.990394,2540.38865171,-11110019.9755,4207174.53358,17,2753,0.160653972721,6226.87988281,15497.9003906,9168.02179441,8865.85058594,5241.27978516,2592.26065875,25239564.0
1.15884023072e+11,3396010541.0,2,A,42,+40.9024957,-077.8334514,00,G4000,Pennsylvania,1,42,01779798,PA,119279.928592,1847.96553455,-8664883.14321,4154892.42564,18,1653,0.0575134942299,12024.5605469,15395.7001953,12355.5172414,12042.0800781,9405.44042969,1304.44159848,20423670.0
1.72120795268e+11,12540315747.0,9,A,53,+47.4073238,-120.5757999,00,G4000,Washington,4,53,01779804,WA,184660.768653,2340.38287479,-13424451.8509,4674015.41293,19,2534,0.26438038783,0.0,9979.20019531,5499.26203631,5786.87988281,0.0,2630.4919788,13935130.0
1.11901043977e+11,23750204105.0,7,A,22,+30.8634368,-091.7987173,00,G4000,Louisiana,3,22,01629543,LA,135651.297304,2764.05822391,-10219838.9366,3256359.59927,20,1799,0.0171435034192,17432.4003906,18888.75,17887.9966648,17822.9511719,16800.9511719,532.44030478,32180506.0
1.48963503399e+11,4947080103.0,5,A,13,+32.6295789,-083.4235109,00,G4000,Georgia,3,13,01705317,GA,153910.561891,2188.99848016,-9286478.63026,3419188.56611,21,2136,0.0255314990166,19359.5996094,19454.5,18574.1086142,18945.3242188,14563.5,968.658611492,39674296.0
1.31172403111e+11,4594951242.0,6,A,01,+32.7396323,-086.8434593,00,G4000,Alabama,3,01,01779775,AL,135767.386503,1767.12524582,-9667618.06552,3430114.07715,22,1892,0.0240947549434,17921.5,19191.7011719,17474.6849894,17266.3242188,16052.7001953,752.853503321,33062104.0
2.12883424892e+11,7000211755.0,8,A,49,+39.3349925,-111.6563326,00,G4000,Utah,4,49,01455989,UT,219883.797187,1971.56580125,-12431516.1209,4018585.06351,23,2990,0.283138424933,0.0,7008.31982422,3036.16956522,2875.84008789,0.0,1541.99543397,9078147.0
1.05831263791e+11,10266413579.0,3,A,39,+40.4149297,-082.7119975,00,G4000,Ohio,2,39,01085497,OH,116097.521096,1627.34831897,-9207579.59242,4113647.6726,24,1515,0.0525837535868,14439.4003906,16465.1503906,13148.1610561,12807.8505859,11288.7207031,1225.62113572,19919464.0
6.7660188707e+11,19059877230.0,7,A,48,+31.4347032,-099.2818238,00,G4000,Texas,3,48,01779801,TX,695661.705491,5864.63612843,-11054268.2333,3302051.74296,25,9429,0.362802641257,0.0,18531.0507812,8092.55530809,6208.65039062,0.0,5281.71581437,76304704.0
