ALAND,AWATER,DIVISION,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAME,REGION,STATEFP,STATENS,STUSPS,area,boundary,X,Y,ID_GEOFLA,post1500TotalCalories0count,post1500TotalCalories0gini,post1500TotalCalories0majority,post1500TotalCalories0max,post1500TotalCalories0mean,post1500TotalCalories0median,post1500TotalCalories0min,post1500TotalCalories0std,post1500TotalCalories0sum
62266581604.0,489443020.0,5,A,54,+38.6472854,-080.6183274,00,G4000,West Virginia,3,54,01779805,WV,62755.506231,2085.49106503,-8974421.32871,3962330.29553,0,952,0.0302748895357,157399.5,182263.25,157265.176471,156492.0625,117457.25,9209.18375383,149716448.0
1.38903200855e+11,31407883551.0,5,A,12,+28.4574302,-082.4091478,00,G4000,Florida,3,12,00294478,FL,170310.232906,3341.94649258,-9177766.06426,3019707.56651,1,2215,0.0435780667359,134309.59375,202414.046875,178699.239729,179926.1875,132356.453125,13802.8999074,395818816.0
1.43794747023e+11,6200927458.0,3,A,17,+40.1028754,-089.1526108,00,G4000,Illinois,2,17,01779784,IL,149995.624053,2249.3735932,-9924058.49966,4086915.62352,2,2066,0.0091844932143,180743.5,187718.078125,180232.89061,180795.703125,170176.203125,3013.37181767,372361152.0
2.06236605303e+11,18924324242.0,4,A,27,+46.3161343,-094.1994801,00,G4000,Minnesota,2,27,00662849,MN,225161.660954,3532.50699595,-10486139.1373,4589654.45011,3,3084,0.166757398056,158203.765625,177110.671875,116723.154345,124742.015625,40928.0351562,34363.1295571,359974208.0
25147575220.0,6983455225.0,5,A,24,+38.9466584,-076.6744939,00,G4000,Maryland,3,24,01714934,MD,32131.1112013,1556.22185372,-8536322.57388,3988937.77897,4,493,0.026956404228,185839.359375,191799.78125,178432.924949,179429.359375,135617.125,9538.22014261,87967432.0
2677751247.0,1323482672.0,1,A,44,+41.5974187,-071.5272723,00,G4000,Rhode Island,1,44,01219835,RI,4001.28079784,360.78306457,-7962097.67153,4214019.95839,5,63,0.0124996231417,174313.625,186653.125,178890.095238,179088.78125,172688.375,3943.51289693,11270076.0
2.14045425549e+11,2397728105.0,8,A,16,+44.3020993,-114.5956279,00,G4000,Idaho,4,16,01779783,ID,216441.805264,2992.36340214,-12761213.7863,4435587.04668,6,2867,0.260328687378,64826.4453125,115555.109375,41806.5099407,39546.0,257.070007324,19773.1830937,119859264.0
23187964254.0,1026252314.0,1,A,33,+43.6726907,-071.5843145,00,G4000,New Hampshire,1,33,01779794,NH,24214.2202021,980.967131291,-7967419.18106,4383956.12269,7,365,0.156650863814,115789.71875,172330.09375,129023.715068,142834.984375,28993.0957031,36608.3690756,47093656.0
1.25917995955e+11,13472722504.0,5,A,37,+35.5397100,-079.1308636,00,G4000,North Carolina,3,37,01027616,NC,139390.770257,2404.62360588,-8808736.49434,3686313.39823,8,1900,0.0385960775158,170293.328125,215963.96875,184127.713684,184760.21875,133886.953125,12997.0874768,349842656.0
23871896411.0,1034369068.0,1,A,50,+44.0604795,-072.6733273,00,G4000,Vermont,1,50,01779802,VT,24906.2562761,972.551647893,-8088944.31704,4415686.975,9,385,0.148293007192,80046.0625,169293.90625,117326.161039,118016.023438,73445.625,30717.9524859,45170572.0
12542396439.0,1814978794.0,1,A,09,+41.5797777,-072.7466665,00,G4000,Connecticut,1,09,01779780,CT,14357.7110427,584.88512141,-8097245.15673,4212352.98936,10,200,0.021512963354,173092.5625,185059.5625,172808.46,175220.3125,120640.734375,7893.18515176,34561692.0
5047093738.0,1398754502.0,5,A,10,+38.9985380,-075.4416616,00,G4000,Delaware,3,10,01779781,DE,6445.84191706,399.848001557,-8399273.06795,3993403.78312,11,105,0.0139754475395,171520.21875,186201.703125,178758.780952,180110.09375,166563.765625,4649.58012646,18769672.0
3.14161410324e+11,755712514.0,8,A,35,+34.4346843,-106.1316181,00,G4000,New Mexico,4,35,00897535,NM,314917.908855,2416.1784229,-11812158.0074,3582772.70957,12,3412,0.279362559442,26870.8652344,77868.8828125,32897.1254396,28328.6796875,424.269989014,16651.0464191,112244992.0
4.03483823181e+11,20483271881.0,9,A,06,+37.1551773,-119.5434183,00,G4000,California,4,06,01779778,CA,423967.004819,4357.51916754,-13313380.5929,3826441.24884,13,4546,0.263593000069,1865.43005371,127054.070312,54725.0717114,53855.1640625,145.0,25265.64157,248780176.0
