ALAND,AWATER,DIVISION,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAME,REGION,STATEFP,STATENS,STUSPS,area,boundary,X,Y,ID_GEOFLA,pre15002MaximumCaloriescount,pre15002MaximumCaloriesgini,pre15002MaximumCaloriesmajority,pre15002MaximumCaloriesmax,pre15002MaximumCaloriesmean,pre15002MaximumCaloriesmedian,pre15002MaximumCaloriesmin,pre15002MaximumCaloriesstd,pre15002MaximumCaloriessum
62266581604.0,489443020.0,5,A,54,+38.6472854,-080.6183274,00,G4000,West Virginia,3,54,01779805,WV,62755.506231,2085.49106503,-8974421.32871,3962330.29553,0,895,0.0634632700602,13870.0,17388.5996094,13591.9429611,13848.1005859,8906.0,1574.177869,12164788.9502
1.38903200855e+11,31407883551.0,5,A,12,+28.4574302,-082.4091478,00,G4000,Florida,3,12,00294478,FL,170310.232906,3341.94649258,-9177766.06426,3019707.56651,1,2106,0.0340506166553,19100.4511719,19345.0,18178.5116895,18655.1503906,13067.0,1464.96286108,38283945.6182
1.43794747023e+11,6200927458.0,3,A,17,+40.1028754,-089.1526108,00,G4000,Illinois,2,17,01779784,IL,149995.624053,2249.3735932,-9924058.49966,4086915.62352,2,1910,0.0353862193452,14855.5,17271.8007812,14828.3210784,14917.5507812,12147.2001953,1045.29921778,28322093.2598
2.06236605303e+11,18924324242.0,4,A,27,+46.3161343,-094.1994801,00,G4000,Minnesota,2,27,00662849,MN,225161.660954,3532.50699595,-10486139.1373,4589654.45011,3,2890,0.157036744656,12345.7607422,12702.0,9370.10632721,10065.2402344,2516.58007812,2640.13892811,27079607.2856
25147575220.0,6983455225.0,5,A,24,+38.9466584,-076.6744939,00,G4000,Maryland,3,24,01714934,MD,32131.1112013,1556.22185372,-8536322.57388,3988937.77897,4,474,0.0683019421919,13891.9003906,18202.5507812,16016.1187203,16585.5996094,10401.0400391,2000.37450922,7591640.27344
2677751247.0,1323482672.0,1,A,44,+41.5974187,-071.5272723,00,G4000,Rhode Island,1,44,01219835,RI,4001.28079784,360.78306457,-7962097.67153,4214019.95839,5,59,0.023235100756,13975.8505859,13975.8505859,12367.1159627,12099.75,11840.6005859,638.149321336,729659.841797
2.14045425549e+11,2397728105.0,8,A,16,+44.3020993,-114.5956279,00,G4000,Idaho,4,16,01779783,ID,216441.805264,2992.36340214,-12761213.7863,4435587.04668,6,2824,0.421617183867,0.0,6634.24023438,1605.27648188,1097.92004395,0.0,1300.11434125,4533300.78482
23187964254.0,1026252314.0,1,A,33,+43.6726907,-071.5843145,00,G4000,New Hampshire,1,33,01779794,NH,24214.2202021,980.967131291,-7967419.18106,4383956.12269,7,349,0.192657428045,11989.5205078,12147.2001953,8631.72951038,9349.83984375,1494.56994629,2979.6200398,3012473.59912
1.25917995955e+11,13472722504.0,5,A,37,+35.5397100,-079.1308636,00,G4000,North Carolina,3,37,01027616,NC,139390.770257,2404.62360588,-8808736.49434,3686313.39823,8,1813,0.0382931710499,18706.25,19009.2011719,17876.1912678,18479.9511719,10447.7607422,1656.89477474,32409534.7686
23871896411.0,1034369068.0,1,A,50,+44.0604795,-072.6733273,00,G4000,Vermont,1,50,01779802,VT,24906.2562761,972.551647893,-8088944.31704,4415686.975,9,364,0.170861820954,6172.88037109,12129.6806641,7839.21150426,7288.3203125,3556.56005859,2366.80616697,2853472.98755
12542396439.0,1814978794.0,1,A,09,+41.5797777,-072.7466665,00,G4000,Connecticut,1,09,01779780,CT,14357.7110427,584.88512141,-8097245.15673,4212352.98936,10,195,0.030903729912,11948.640625,14355.4501953,12193.6283804,12026.75,7218.24023438,852.08876218,2377757.53418
5047093738.0,1398754502.0,5,A,10,+38.9985380,-075.4416616,00,G4000,Delaware,3,10,01779781,DE,6445.84191706,399.848001557,-8399273.06795,3993403.78312,11,100,0.0299626555725,14665.7001953,17968.9511719,16556.7288965,16859.3505859,14618.25,909.452048045,1655672.88965
