ALAND,AWATER,DIVISION,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAME,REGION,STATEFP,STATENS,STUSPS,area,boundary,X,Y,ID_GEOFLA,pre15002TotalCaloriescount,pre15002TotalCaloriesgini,pre15002TotalCaloriesmajority,pre15002TotalCaloriesmax,pre15002TotalCaloriesmean,pre15002TotalCaloriesmedian,pre15002TotalCaloriesmin,pre15002TotalCaloriesstd,pre15002TotalCaloriessum
62266581604.0,489443020.0,5,A,54,+38.6472854,-080.6183274,00,G4000,West Virginia,3,54,01779805,WV,62755.506231,2085.49106503,-8974421.32871,3962330.29553,0,895,0.0594692549601,49248.0,60141.03125,47510.7109702,47286.0,27277.7910156,5244.24250625,42522086.3184
1.38903200855e+11,31407883551.0,5,A,12,+28.4574302,-082.4091478,00,G4000,Florida,3,12,00294478,FL,170310.232906,3341.94649258,-9177766.06426,3019707.56651,1,2106,0.037665944308,65020.4414062,77689.8125,71668.0823707,74256.7851562,58902.8007812,4943.24086752,150932981.473
1.43794747023e+11,6200927458.0,3,A,17,+40.1028754,-089.1526108,00,G4000,Illinois,2,17,01779784,IL,149995.624053,2249.3735932,-9924058.49966,4086915.62352,2,1910,0.0354401590857,57485.078125,61554.6015625,55731.2476931,57412.9609375,44478.703125,3848.24311029,106446683.094
2.06236605303e+11,18924324242.0,4,A,27,+46.3161343,-094.1994801,00,G4000,Minnesota,2,27,00662849,MN,225161.660954,3532.50699595,-10486139.1373,4589654.45011,3,2890,0.183178911931,20520.5,47974.5390625,33860.5517835,37908.5292969,4370.74023438,11578.2397597,97856994.6543
25147575220.0,6983455225.0,5,A,24,+38.9466584,-076.6744939,00,G4000,Maryland,3,24,01714934,MD,32131.1112013,1556.22185372,-8536322.57388,3988937.77897,4,474,0.0638724120282,63751.5507812,65220.0195312,57866.2390229,60209.796875,35179.4414062,6965.83883114,27428597.2969
2677751247.0,1323482672.0,1,A,44,+41.5974187,-071.5272723,00,G4000,Rhode Island,1,44,01219835,RI,4001.28079784,360.78306457,-7962097.67153,4214019.95839,5,59,0.0218138959005,43483.0820312,50902.140625,46604.0416446,46136.1132812,43483.0820312,1896.77737793,2749638.45703
2.14045425549e+11,2397728105.0,8,A,16,+44.3020993,-114.5956279,00,G4000,Idaho,4,16,01779783,ID,216441.805264,2992.36340214,-12761213.7863,4435587.04668,6,2824,0.530932375589,0.0,22787.5410156,3460.4858514,2092.64013672,0.0,3748.88838708,9772412.04434
23187964254.0,1026252314.0,1,A,33,+43.6726907,-071.5843145,00,G4000,New Hampshire,1,33,01779794,NH,24214.2202021,980.967131291,-7967419.18106,4383956.12269,7,349,0.225065343144,4369.75,44580.453125,30516.3603558,35142.8710938,2760.12011719,12826.3093129,10650209.7642
1.25917995955e+11,13472722504.0,5,A,37,+35.5397100,-079.1308636,00,G4000,North Carolina,3,37,01027616,NC,139390.770257,2404.62360588,-8808736.49434,3686313.39823,8,1813,0.0510049077742,66620.6015625,72588.7734375,63998.4298943,65731.3046875,36556.9296875,6875.52801859,116029153.398
23871896411.0,1034369068.0,1,A,50,+44.0604795,-072.6733273,00,G4000,Vermont,1,50,01779802,VT,24906.2562761,972.551647893,-8088944.31704,4415686.975,9,364,0.244132634968,26217.5,43406.5117188,26283.4014718,28410.140625,9533.29003906,11352.0102612,9567158.13574
12542396439.0,1814978794.0,1,A,09,+41.5797777,-072.7466665,00,G4000,Connecticut,1,09,01779780,CT,14357.7110427,584.88512141,-8097245.15673,4212352.98936,10,195,0.0350123370292,46003.7617188,51046.34375,45021.1019531,45362.6289062,27682.9707031,3059.31658369,8779114.88086
5047093738.0,1398754502.0,5,A,10,+38.9985380,-075.4416616,00,G4000,Delaware,3,10,01779781,DE,6445.84191706,399.848001557,-8399273.06795,3993403.78312,11,100,0.0225079235138,54690.1015625,63673.6835938,59832.8518359,60786.4804688,52724.359375,2565.26330998,5983285.18359
3.14161410324e+11,755712514.0,8,A,35,+34.4346843,-106.1316181,00,G4000,New Mexico,4,35,00897535,NM,314917.908855,2416.1784229,-11812158.0074,3582772.70957,12,4055,0.497089290745,0.0,19227.8496094,6487.63392463,5292.91015625,0.0,5703.0073546,26307355.5644
4.03483823181e+11,20483271881.0,9,A,06,+37.1551773,-119.5434183,00,G4000,California,4,06,01779778,CA,423967.004819,4357.51916754,-13313380.5929,3826441.24884,13,5313,0.529120866752,0.0,27255.8613281,6492.06139771,4851.95019531,0.0,6318.21508115,34492322.206
19048769408.0,3542752545.0,2,A,34,+40.1072744,-074.6652012,00,G4000,New Jersey,1,34,01779795,NJ,22591.5406716,849.43031427,-8310757.82828,4088510.84163,14,308,0.0451723602974,44710.921875,60238.671875,51344.6405109,51866.1914062,40489.0507812,4133.23324115,15814149.2773
1.40269495483e+11,29365430262.0,3,A,55,+44.6309071,-089.7093916,00,G4000,Wisconsin,2,55,01779806,WI,169635.014088,2338.84018924,-9987740.51312,4458706.40452,15,1954,0.137322162831,43020.2695312,50495.359375,37354.6290067,42744.0859375,12137.3496094,10126.3898053,72990945.0791
2.48608666869e+11,6190902750.0,9,A,41,+43.9717125,-120.6229578,00,G4000,Oregon,4,41,01155107,OR,254799.96734,2630.23208657,-13426031.2834,4403115.08289,16,3233,0.551224781847,0.0,30651.03125,5224.18396774,3486.75,0.0,6071.13296985,16889786.7677
