ALAND,AWATER,DIVISION,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAME,REGION,STATEFP,STATENS,STUSPS,area,boundary,X,Y,ID_GEOFLA,pre1500AverageCaloriescount,pre1500AverageCaloriesgini,pre1500AverageCaloriesmajority,pre1500AverageCaloriesmax,pre1500AverageCaloriesmean,pre1500AverageCaloriesmedian,pre1500AverageCaloriesmin,pre1500AverageCaloriesstd,pre1500AverageCaloriessum
62266581604.0,489443020.0,5,A,54,+38.6472854,-080.6183274,00,G4000,West Virginia,3,54,01779805,WV,62755.506231,2085.49106503,-8974421.32871,3962330.29553,0,944,0.0613887175171,2471.40869141,4007.05078125,3171.98028422,3150.34106445,1818.51940918,358.320302381,2994349.38831
1.38903200855e+11,31407883551.0,5,A,12,+28.4574302,-082.4091478,00,G4000,Florida,3,12,00294478,FL,170310.232906,3341.94649258,-9177766.06426,3019707.56651,1,2212,0.0373878843752,4334.69580078,5179.32080078,4781.83436151,4952.81298828,3926.85327148,327.449765913,10577417.6077
1.43794747023e+11,6200927458.0,3,A,17,+40.1028754,-089.1526108,00,G4000,Illinois,2,17,01779784,IL,149995.624053,2249.3735932,-9924058.49966,4086915.62352,2,2027,0.0357443100394,3893.02612305,4095.8215332,3712.70489228,3826.31152344,2965.24682617,257.46785862,7525652.81665
2.06236605303e+11,18924324242.0,4,A,27,+46.3161343,-094.1994801,00,G4000,Minnesota,2,27,00662849,MN,225161.660954,3532.50699595,-10486139.1373,4589654.45011,3,2995,0.18564966688,3074.98413086,3152.74926758,2239.58077932,2499.83740234,289.234008789,772.837138426,6707544.43405
25147575220.0,6983455225.0,5,A,24,+38.9466584,-076.6744939,00,G4000,Maryland,3,24,01714934,MD,32131.1112013,1556.22185372,-8536322.57388,3988937.77897,4,500,0.0639087414202,4154.22070312,4352.71777344,3856.4953208,4013.98632812,2445.58325195,466.223613229,1928247.6604
2677751247.0,1323482672.0,1,A,44,+41.5974187,-071.5272723,00,G4000,Rhode Island,1,44,01219835,RI,4001.28079784,360.78306457,-7962097.67153,4214019.95839,5,61,0.0206300867364,3117.0612793,3389.45336914,3100.36370549,3075.79882812,2898.87207031,119.252314709,189122.186035
2.14045425549e+11,2397728105.0,8,A,16,+44.3020993,-114.5956279,00,G4000,Idaho,4,16,01779783,ID,216441.805264,2992.36340214,-12761213.7863,4435587.04668,6,2963,0.530178878205,0.0,1541.38000488,227.601950686,137.118667603,0.0,247.4410101,674384.579882
23187964254.0,1026252314.0,1,A,33,+43.6726907,-071.5843145,00,G4000,New Hampshire,1,33,01779794,NH,24214.2202021,980.967131291,-7967419.18106,4383956.12269,7,370,0.233849259058,2683.73413086,2972.0300293,2024.69913578,2355.87695312,0.0,884.918440273,749138.680237
1.25917995955e+11,13472722504.0,5,A,37,+35.5397100,-079.1308636,00,G4000,North Carolina,3,37,01027616,NC,139390.770257,2404.62360588,-8808736.49434,3686313.39823,8,1883,0.0513880122297,4441.37353516,4835.80859375,4265.44831311,4383.12353516,2437.12866211,462.557771359,8031839.17358
23871896411.0,1034369068.0,1,A,50,+44.0604795,-072.6733273,00,G4000,Vermont,1,50,01779802,VT,24906.2562761,972.551647893,-8088944.31704,4415686.975,9,374,0.233533444015,797.840698242,2893.76733398,1833.51395959,1929.57305908,651.228027344,758.197385182,685734.220886
12542396439.0,1814978794.0,1,A,09,+41.5797777,-072.7466665,00,G4000,Connecticut,1,09,01779780,CT,14357.7110427,584.88512141,-8097245.15673,4212352.98936,10,209,0.0366130410398,3072.75,3403.08935547,2993.50742994,3022.41088867,1845.53137207,209.034130656,625643.052856
5047093738.0,1398754502.0,5,A,10,+38.9985380,-075.4416616,00,G4000,Delaware,3,10,01779781,DE,6445.84191706,399.848001557,-8399273.06795,3993403.78312,11,103,0.0220884855163,4049.06738281,4251.11621094,3983.46358749,4049.06738281,3514.95727539,162.930364979,410296.749512
3.14161410324e+11,755712514.0,8,A,35,+34.4346843,-106.1316181,00,G4000,New Mexico,4,35,00897535,NM,314917.908855,2416.1784229,-11812158.0074,3582772.70957,12,4275,0.500639006075,0.0,1281.85668945,427.274435886,345.782012939,0.0,378.616947592,1826598.21341
