ALAND,AWATER,DIVISION,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAME,REGION,STATEFP,STATENS,STUSPS,area,boundary,X,Y,ID_GEOFLA,pre1500AverageCalories0count,pre1500AverageCalories0gini,pre1500AverageCalories0majority,pre1500AverageCalories0max,pre1500AverageCalories0mean,pre1500AverageCalories0median,pre1500AverageCalories0min,pre1500AverageCalories0std,pre1500AverageCalories0sum
62266581604.0,489443020.0,5,A,54,+38.6472854,-080.6183274,00,G4000,West Virginia,3,54,01779805,WV,62755.506231,2085.49106503,-8974421.32871,3962330.29553,0,944,0.0403421358719,6391.40673828,7121.71728516,6353.44420921,6403.00439453,3896.82714844,473.470595904,5997651.3335
1.38903200855e+11,31407883551.0,5,A,12,+28.4574302,-082.4091478,00,G4000,Florida,3,12,00294478,FL,170310.232906,3341.94649258,-9177766.06426,3019707.56651,1,2212,0.0288243103994,6502.04394531,7122.74902344,6657.31929665,6805.87792969,5328.72900391,394.857875814,14725990.2842
1.43794747023e+11,6200927458.0,3,A,17,+40.1028754,-089.1526108,00,G4000,Illinois,2,17,01779784,IL,149995.624053,2249.3735932,-9924058.49966,4086915.62352,2,2027,0.0233320978568,6625.92773438,7471.32324219,6475.37211271,6454.20556641,6003.17333984,286.583639515,13125579.2725
2.06236605303e+11,18924324242.0,4,A,27,+46.3161343,-094.1994801,00,G4000,Minnesota,2,27,00662849,MN,225161.660954,3532.50699595,-10486139.1373,4589654.45011,3,2995,0.158150147779,5193.75585938,6755.89160156,4929.69542071,5356.79443359,1681.75,1415.25511683,14764437.785
25147575220.0,6983455225.0,5,A,24,+38.9466584,-076.6744939,00,G4000,Maryland,3,24,01714934,MD,32131.1112013,1556.22185372,-8536322.57388,3988937.77897,4,500,0.0426120830621,6923.70117188,7254.52978516,6618.49592773,6780.96044922,5240.53564453,505.309544771,3309247.96387
2677751247.0,1323482672.0,1,A,44,+41.5974187,-071.5272723,00,G4000,Rhode Island,1,44,01219835,RI,4001.28079784,360.78306457,-7962097.67153,4214019.95839,5,61,0.0206300877558,6679.41748047,7263.11425781,6643.63651063,6590.99707031,6211.86865234,255.54066572,405261.827148
2.14045425549e+11,2397728105.0,8,A,16,+44.3020993,-114.5956279,00,G4000,Idaho,4,16,01779783,ID,216441.805264,2992.36340214,-12761213.7863,4435587.04668,6,2773,0.244849587135,677.599975586,3302.95727539,1092.14839169,976.440002441,408.869995117,493.792362413,3028527.49014
23187964254.0,1026252314.0,1,A,33,+43.6726907,-071.5843145,00,G4000,New Hampshire,1,33,01779794,NH,24214.2202021,980.967131291,-7967419.18106,4383956.12269,7,369,0.170116894562,5750.85888672,6368.63623047,4635.26649107,5049.64746094,1380.06005859,1425.73245736,1710413.33521
1.25917995955e+11,13472722504.0,5,A,37,+35.5397100,-079.1308636,00,G4000,North Carolina,3,37,01027616,NC,139390.770257,2404.62360588,-8808736.49434,3686313.39823,8,1883,0.0288823950995,6662.06005859,7521.93017578,6939.29769701,7007.10595703,5222.41894531,385.643041501,13066697.5635
23871896411.0,1034369068.0,1,A,50,+44.0604795,-072.6733273,00,G4000,Vermont,1,50,01779802,VT,24906.2562761,972.551647893,-8088944.31704,4415686.975,9,374,0.174763437307,3956.13867188,6200.93017578,4200.29434873,4134.79931641,2297.67602539,1283.78704315,1570910.08643
12542396439.0,1814978794.0,1,A,09,+41.5797777,-072.7466665,00,G4000,Connecticut,1,09,01779780,CT,14357.7110427,584.88512141,-8097245.15673,4212352.98936,10,209,0.0366130425969,6357.56738281,7292.33447266,6414.6587907,6476.59472656,3954.71020508,447.930294112,1340663.68726
