ALAND,AWATER,DIVISION,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAME,REGION,STATEFP,STATENS,STUSPS,area,boundary,X,Y,ID_GEOFLA,pre1500MaximumCalories0count,pre1500MaximumCalories0gini,pre1500MaximumCalories0majority,pre1500MaximumCalories0max,pre1500MaximumCalories0mean,pre1500MaximumCalories0median,pre1500MaximumCalories0min,pre1500MaximumCalories0std,pre1500MaximumCalories0sum
62266581604.0,489443020.0,5,A,54,+38.6472854,-080.6183274,00,G4000,West Virginia,3,54,01779805,WV,62755.506231,2085.49106503,-8974421.32871,3962330.29553,0,944,0.0648556444896,13870.0,17377.6503906,13598.8842494,13848.1005859,8906.0,1601.35159058,12837346.7314
1.38903200855e+11,31407883551.0,5,A,12,+28.4574302,-082.4091478,00,G4000,Florida,3,12,00294478,FL,170310.232906,3341.94649258,-9177766.06426,3019707.56651,1,2212,0.0338102116093,19100.4511719,19341.3496094,18184.6485699,18662.4511719,13067.0,1458.07026291,40224442.6367
1.43794747023e+11,6200927458.0,3,A,17,+40.1028754,-089.1526108,00,G4000,Illinois,2,17,01779784,IL,149995.624053,2249.3735932,-9924058.49966,4086915.62352,2,2027,0.0355793889009,14855.5,17271.8007812,14824.8584037,14921.2001953,12147.2001953,1049.30468333,30049987.9844
2.06236605303e+11,18924324242.0,4,A,27,+46.3161343,-094.1994801,00,G4000,Minnesota,2,27,00662849,MN,225161.660954,3532.50699595,-10486139.1373,4589654.45011,3,2995,0.158611588711,12363.2802734,12468.4003906,9298.96599182,9928.0,2485.89013672,2638.21019604,27850403.1455
25147575220.0,6983455225.0,5,A,24,+38.9466584,-076.6744939,00,G4000,Maryland,3,24,01714934,MD,32131.1112013,1556.22185372,-8536322.57388,3988937.77897,4,500,0.0690347634468,18016.4003906,18202.5507812,15988.1712617,16574.6503906,10663.8398438,2016.34708071,7994085.63086
2677751247.0,1323482672.0,1,A,44,+41.5974187,-071.5272723,00,G4000,Rhode Island,1,44,01219835,RI,4001.28079784,360.78306457,-7962097.67153,4214019.95839,5,61,0.0207343121212,12081.5,14030.6005859,12328.0009926,12099.75,11896.0800781,592.171352301,752008.060547
2.14045425549e+11,2397728105.0,8,A,16,+44.3020993,-114.5956279,00,G4000,Idaho,4,16,01779783,ID,216441.805264,2992.36340214,-12761213.7863,4435587.04668,6,2773,0.378852063998,2756.47998047,6634.24023438,1695.8277411,1203.04003906,408.869995117,1250.19635339,4702530.32608
23187964254.0,1026252314.0,1,A,33,+43.6726907,-071.5843145,00,G4000,New Hampshire,1,33,01779794,NH,24214.2202021,980.967131291,-7967419.18106,4383956.12269,7,369,0.198293984291,11995.3603516,12147.2001953,8626.26041799,9472.48046875,1494.56994629,3076.10405455,3183090.09424
1.25917995955e+11,13472722504.0,5,A,37,+35.5397100,-079.1308636,00,G4000,North Carolina,3,37,01027616,NC,139390.770257,2404.62360588,-8808736.49434,3686313.39823,8,1883,0.0386785323742,18231.75,19012.8496094,17873.0191693,18490.9003906,10447.7607422,1681.48213555,33654895.0957
23871896411.0,1034369068.0,1,A,50,+44.0604795,-072.6733273,00,G4000,Vermont,1,50,01779802,VT,24906.2562761,972.551647893,-8088944.31704,4415686.975,9,374,0.170401070629,6202.08007812,12129.6806641,8091.56421355,7463.52026367,3667.52001953,2420.07335188,3026245.01587
12542396439.0,1814978794.0,1,A,09,+41.5797777,-072.7466665,00,G4000,Connecticut,1,09,01779780,CT,14357.7110427,584.88512141,-8097245.15673,4212352.98936,10,209,0.0318257381686,12059.6005859,14373.7001953,12202.7746804,12059.6005859,7218.24023438,868.365179171,2550379.9082
5047093738.0,1398754502.0,5,A,10,+38.9985380,-075.4416616,00,G4000,Delaware,3,10,01779781,DE,6445.84191706,399.848001557,-8399273.06795,3993403.78312,11,103,0.0299400234832,17417.8007812,17968.9511719,16530.4251745,16866.6503906,14618.25,890.158491534,1702633.79297
3.14161410324e+11,755712514.0,8,A,35,+34.4346843,-106.1316181,00,G4000,New Mexico,4,35,00897535,NM,314917.908855,2416.1784229,-11812158.0074,3582772.70957,12,3221,0.201385255677,2687.58007812,4911.43994141,2677.61165918,2806.65014648,329.559997559,965.678018227,8624587.15421
4.03483823181e+11,20483271881.0,9,A,06,+37.1551773,-119.5434183,00,G4000,California,4,06,01779778,CA,423967.004819,4357.51916754,-13313380.5929,3826441.24884,13,4447,0.285714327835,4531.84033203,7568.64013672,3077.85105231,3054.32006836,364.399993896,1530.17285729,13687203.6296
19048769408.0,3542752545.0,2,A,34,+40.1072744,-074.6652012,00,G4000,New Jersey,1,34,01779795,NJ,22591.5406716,849.43031427,-8310757.82828,4088510.84163,14,318,0.0415564185327,14450.3505859,16852.0507812,14196.3769501,14490.5,11570.5,1186.25104973,4514447.87012
1.40269495483e+11,29365430262.0,3,A,55,+44.6309071,-089.7093916,00,G4000,Wisconsin,2,55,01779806,WI,169635.014088,2338.84018924,-9987740.51312,4458706.40452,15,2063,0.119808351609,12252.3203125,13953.9501953,10350.6720435,11504.8007812,4765.43994141,2318.91871429,21353436.4258
2.48608666869e+11,6190902750.0,9,A,41,+43.9717125,-120.6229578,00,G4000,Oregon,4,41,01155107,OR,254799.96734,2630.23208657,-13426031.2834,4403115.08289,16,3200,0.426113267986,1401.60009766,8812.56054688,2348.99933995,1547.60009766,411.179992676,1962.00928462,7516797.88785
1.98972282955e+11,1356441861.0,4,A,31,+41.5433014,-099.8118616,00,G4000,Nebraska,2,31,01779792,NE,200328.990394,2540.38865171,-11110019.9755,4207174.53358,17,2810,0.183536848205,5472.08007812,15611.0507812,8949.85348635,8846.50488281,3977.04003906,2865.97096823,25149088.2966
