ALAND,AWATER,DIVISION,FUNCSTAT,GEOID,INTPTLAT,INTPTLON,LSAD,MTFCC,NAME,REGION,STATEFP,STATENS,STUSPS,area,boundary,X,Y,ID_GEOFLA,pre1500TotalCalories00count,pre1500TotalCalories00gini,pre1500TotalCalories00majority,pre1500TotalCalories00max,pre1500TotalCalories00mean,pre1500TotalCalories00median,pre1500TotalCalories00min,pre1500TotalCalories00std,pre1500TotalCalories00sum
62266581604.0,489443020.0,5,A,54,+38.6472854,-080.6183274,00,G4000,West Virginia,3,54,01779805,WV,62755.506231,2085.49106503,-8974421.32871,3962330.29553,0,944,0.0613887170283,41279.9726562,60105.7617188,47579.704265,47255.1171875,27277.7910156,5374.80449577,44915240.8262
1.38903200855e+11,31407883551.0,5,A,12,+28.4574302,-082.4091478,00,G4000,Florida,3,12,00294478,FL,170310.232906,3341.94649258,-9177766.06426,3019707.56651,1,2212,0.0373878837671,65020.4414062,77689.8125,71727.5153919,74292.1953125,58902.8007812,4911.74644135,158661264.047
1.43794747023e+11,6200927458.0,3,A,17,+40.1028754,-089.1526108,00,G4000,Illinois,2,17,01779784,IL,149995.624053,2249.3735932,-9924058.49966,4086915.62352,2,2027,0.0357443102356,58395.390625,61437.3242188,55690.5733111,57394.671875,44478.703125,3862.01788412,112884792.102
2.06236605303e+11,18924324242.0,4,A,27,+46.3161343,-094.1994801,00,G4000,Minnesota,2,27,00662849,MN,225161.660954,3532.50699595,-10486139.1373,4589654.45011,3,2995,0.185649667072,41572.5195312,47291.2421875,33593.7116883,37497.5625,4338.51025391,11592.5570935,100613166.506
25147575220.0,6983455225.0,5,A,24,+38.9466584,-076.6744939,00,G4000,Maryland,3,24,01714934,MD,32131.1112013,1556.22185372,-8536322.57388,3988937.77897,4,500,0.063908740527,62313.3085938,65290.7695312,57847.4297422,60209.796875,36683.75,6993.35411232,28923714.8711
2677751247.0,1323482672.0,1,A,44,+41.5974187,-071.5272723,00,G4000,Rhode Island,1,44,01219835,RI,4001.28079784,360.78306457,-7962097.67153,4214019.95839,5,61,0.0206300868487,46755.921875,50841.8007812,46505.4555584,46136.9804688,43483.0820312,1788.78465547,2836832.78906
2.14045425549e+11,2397728105.0,8,A,16,+44.3020993,-114.5956279,00,G4000,Idaho,4,16,01779783,ID,216441.805264,2992.36340214,-12761213.7863,4435587.04668,6,2963,0.530178878688,0.0,23120.7011719,3414.0292609,2056.7800293,0.0,3711.61516178,10115768.7
23187964254.0,1026252314.0,1,A,33,+43.6726907,-071.5843145,00,G4000,New Hampshire,1,33,01779794,NH,24214.2202021,980.967131291,-7967419.18106,4383956.12269,7,370,0.233849259063,42210.7890625,44580.453125,30370.4870262,35338.15625,0.0,13273.7765808,11237080.1997
1.25917995955e+11,13472722504.0,5,A,37,+35.5397100,-079.1308636,00,G4000,North Carolina,3,37,01027616,NC,139390.770257,2404.62360588,-8808736.49434,3686313.39823,8,1883,0.0513880117603,66620.6015625,72537.1328125,63981.7245191,65746.8515625,36556.9296875,6938.36648127,120477587.27
23871896411.0,1034369068.0,1,A,50,+44.0604795,-072.6733273,00,G4000,Vermont,1,50,01779802,VT,24906.2562761,972.551647893,-8088944.31704,4415686.975,9,374,0.233533444931,26663.2597656,43406.5117188,27502.7093917,28943.5957031,9768.41992188,11372.9608041,10286013.3125
12542396439.0,1814978794.0,1,A,09,+41.5797777,-072.7466665,00,G4000,Connecticut,1,09,01779780,CT,14357.7110427,584.88512141,-8097245.15673,4212352.98936,10,209,0.0366130408001,46091.25,51046.34375,44902.6114963,45336.1601562,27682.9707031,3135.51198317,9384645.80273
5047093738.0,1398754502.0,5,A,10,+38.9985380,-075.4416616,00,G4000,Delaware,3,10,01779781,DE,6445.84191706,399.848001557,-8399273.06795,3993403.78312,11,103,0.022088484389,60976.1523438,63766.7421875,59751.9539593,60736.0117188,52724.359375,2443.9553345,6154451.25781
3.14161410324e+11,755712514.0,8,A,35,+34.4346843,-106.1316181,00,G4000,New Mexico,4,35,00897535,NM,314917.908855,2416.1784229,-11812158.0074,3582772.70957,12,4275,0.500639005601,0.0,19227.8496094,6409.11653769,5186.72998047,0.0,5679.25420643,27398973.1986
